City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
173,Vaitape,PF,82.22,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
178,Sao Filipe,CV,79.3,overcast clouds,14.8961,-24.4956,Hotel Xaguate
181,Souillac,MU,79.36,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
184,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
185,Kavaratti,IN,80.35,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
188,Samarai,PG,83.26,scattered clouds,-10.6167,150.6667,Nuli Sapi
196,Victoria,HK,71.96,few clouds,22.2855,114.1577,Mini Hotel Central
202,Praia,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
204,Dingle,PH,83.84,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
206,Pomerode,BR,76.37,broken clouds,-26.7406,-49.1769,Hotel Bergblick
208,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,Scoop Guest House
209,Kieta,PG,80.96,light rain,-6.2167,155.6333,Uruna Bay Retreat
216,Chetumal,MX,72.97,clear sky,18.5,-88.3,Hotel & Suites Arges - - Pet Friendly
217,Prado,BR,75.06,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
219,Inirida,CO,74.79,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
222,Olutanga,PH,81.59,overcast clouds,7.3106,122.8464,Morales Lodge
225,Codrington,AU,77.54,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
228,Eldorado,BR,70.09,clear sky,-23.7869,-54.2836,Villa Verde Hotel
233,Manavalakurichi,IN,84.29,broken clouds,8.1333,77.3,Jebinrio home
234,Esperance,AU,71.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
236,Labuhan,ID,78.85,overcast clouds,-6.8844,112.2051,DoubleFAG
258,Keti Bandar,PK,72.0,clear sky,24.1447,67.4497,Haji laloo memon house
264,Chicama,PE,72.45,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
267,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
271,Nambucca Heads,AU,73.17,broken clouds,-30.65,153.0,Marcel Towers Holiday Apartments
274,Saint-Pierre,RE,78.48,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
276,Anloga,GH,82.62,scattered clouds,5.7947,0.8973,Pin Drop Hotel
281,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
286,Santa Isabel Do Rio Negro,BR,72.72,overcast clouds,-0.4139,-65.0192,Hotel GSA
288,Cidreira,BR,73.92,clear sky,-30.1811,-50.2056,Hotel Castelo
289,La Libertad,EC,75.4,few clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
298,Carutapera,BR,76.03,overcast clouds,-1.195,-46.02,Lidera
302,Arroio Grande,BR,71.28,scattered clouds,-32.2375,-53.0869,Motel Bela Vista
303,San Ramon De La Nueva Oran,AR,70.34,light rain,-23.1322,-64.326,Hotel Residencial Centro
304,Oliveira Dos Brejinhos,BR,74.17,broken clouds,-12.3169,-42.8961,Hotel Paraiso
306,Sao Joao Da Barra,BR,72.64,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
311,Namibe,AO,75.61,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
325,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
328,Buala,SB,77.54,light rain,-8.145,159.5921,Maringe Lagoon Lodge
330,Japura,ID,78.3,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
333,Saint-Georges,GD,77.43,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
334,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
336,Podor,MR,71.55,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
338,Barra Dos Coqueiros,BR,82.42,scattered clouds,-10.9089,-37.0386,Quality Hotel Aracaju
339,Bambous Virieux,MU,79.21,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
346,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
347,Namatanai,PG,83.16,light rain,-3.6667,152.4333,Seagulls Inn Namatani
349,Otane,NZ,79.86,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
353,Puerto Escondido,MX,76.35,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
359,Daru,PG,83.17,overcast clouds,-9.0763,143.2092,Daru Lodge
361,Sharjah,AE,72.25,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
366,Flinders,AU,74.8,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
370,Dubbo,AU,82.53,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
371,Sri Aman,MY,84.25,few clouds,1.2376,111.4621,Seri Simanggang Hotel
374,Tanete,ID,77.41,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
375,Bumba,CD,71.26,overcast clouds,2.1833,22.4667,Père Carlos
382,Cockburn Town,TC,77.43,clear sky,21.4612,-71.1419,Osprey Beach Hotel
383,Fare,PF,81.93,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
385,Vanimo,PG,79.66,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
389,Bodden Town,KY,78.93,few clouds,19.2833,-81.25,Will T Place
390,Kakinada,IN,75.67,scattered clouds,16.9333,82.2167,Royal Park
401,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
406,Banda Aceh,ID,82.33,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
409,Huarmey,PE,71.4,overcast clouds,-10.0681,-78.1522,Hotel Miramar
411,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
412,Lasem,ID,79.36,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
414,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
416,Cotonou,BJ,82.38,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
418,Mogadishu,SO,76.87,few clouds,2.0371,45.3438,Hotel Juba
