City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Dapdap,PH,2022-02-11 00:14:31,12.062,125.4881,79.0,86,100,14.83
126,Khatanga,RU,2022-02-11 00:14:31,71.9667,102.5,-5.06,97,72,13.13
127,Volnovakha,UA,2022-02-11 00:14:31,47.601,37.4967,35.94,94,100,6.15
128,Talnakh,RU,2022-02-11 00:14:32,69.4865,88.3972,-12.12,94,47,12.3
129,Vaini,TO,2022-02-11 00:14:32,-21.2,-175.2,81.68,79,49,20.42
130,Cape Town,ZA,2022-02-11 00:15:33,-33.9258,18.4232,64.27,71,0,6.91
131,Dunedin,NZ,2022-02-11 00:15:33,-45.8742,170.5036,67.8,72,41,5.57
132,Cairns,AU,2022-02-11 00:12:54,-16.9167,145.7667,90.07,68,3,2.3
133,Carutapera,BR,2022-02-11 00:15:33,-1.195,-46.02,75.51,94,100,5.32
134,Xuchang,CN,2022-02-11 00:15:34,34.0167,113.8167,36.48,77,100,4.29
135,Lakes Entrance,AU,2022-02-11 00:15:34,-37.8811,147.981,70.16,57,48,9.69
136,Kahului,US,2022-02-11 00:11:25,20.8947,-156.47,82.42,66,40,10.36
137,Kurilsk,RU,2022-02-11 00:12:16,45.2333,147.8833,24.3,65,85,4.03
138,Ekhabi,RU,2022-02-11 00:15:35,53.5102,142.9671,25.75,96,100,7.07
139,Mehamn,NO,2022-02-11 00:15:35,71.0357,27.8492,24.57,93,99,12.97
140,Prince Rupert,CA,2022-02-11 00:15:07,54.3161,-130.3201,41.09,65,100,9.22
141,Marsh Harbour,BS,2022-02-11 00:15:36,26.5412,-77.0636,72.91,75,81,12.97
142,Kodiak,US,2022-02-11 00:07:13,57.79,-152.4072,35.11,69,100,24.16
143,Charleston,US,2022-02-11 00:13:30,32.7766,-79.9309,58.32,60,100,9.22
144,Nalut,LY,2022-02-11 00:15:36,30.3333,10.85,45.82,65,2,11.59
145,Port Macquarie,AU,2022-02-11 00:15:37,-31.4333,152.9167,80.89,56,84,13.2
146,Qaanaaq,GL,2022-02-11 00:15:37,77.484,-69.3632,-19.73,58,52,5.28
147,Bacolod,PH,2022-02-11 00:15:39,10.6667,122.95,78.39,83,98,14.61
148,Abha,SA,2022-02-11 00:15:39,18.2164,42.5053,53.42,87,0,0.0
149,Nanton,CA,2022-02-11 00:15:39,50.3501,-113.7687,44.89,35,90,15.46
150,Sitka,US,2022-02-11 00:10:50,57.0531,-135.33,37.29,52,100,0.0
151,Lavrentiya,RU,2022-02-11 00:15:40,65.5833,-171.0,-24.18,97,61,1.77
152,Eureka,US,2022-02-11 00:15:40,40.8021,-124.1637,75.13,58,0,2.8
153,Urusha,RU,2022-02-11 00:15:41,54.05,122.9,-7.64,89,100,3.13
154,Ruwi,OM,2022-02-11 00:15:41,23.5996,58.5507,64.09,59,0,4.09
155,Lokosovo,RU,2022-02-11 00:15:42,61.1333,74.8167,-12.91,99,17,5.68
156,Pevek,RU,2022-02-11 00:15:42,69.7008,170.3133,-29.36,97,100,8.79
157,San Quintin,MX,2022-02-11 00:15:42,30.4833,-115.95,69.48,30,0,4.34
158,Esperance,AU,2022-02-11 00:07:22,-33.8667,121.9,84.04,38,47,18.21
159,Thinadhoo,MV,2022-02-11 00:15:43,0.5333,72.9333,80.96,74,65,4.97
160,Yellowknife,CA,2022-02-11 00:15:37,62.456,-114.3525,-12.59,82,75,9.22
161,Praia Da Vitoria,PT,2022-02-11 00:15:43,38.7333,-27.0667,57.76,94,40,7.4
162,Kysyl-Syr,RU,2022-02-11 00:15:44,63.8986,122.7617,-40.0,100,58,1.57
163,Olinda,BR,2022-02-11 00:15:44,-8.0089,-34.8553,83.93,65,40,5.75
164,Pavlogradka,RU,2022-02-11 00:15:45,54.2024,73.5592,-23.19,100,38,6.73
165,Bima,ID,2022-02-11 00:15:45,-8.4667,118.7167,79.16,88,92,2.21
166,Calvia,ES,2022-02-11 00:15:45,39.5657,2.5062,46.08,89,0,4.45
167,Baykit,RU,2022-02-11 00:15:46,61.67,96.37,-17.5,97,7,2.82
168,Jalu,LY,2022-02-11 00:15:46,29.0331,21.5482,50.85,53,4,7.72
169,Kolyvan,RU,2022-02-11 00:15:47,55.3053,82.7391,-11.42,96,6,7.27
170,Mercedes,AR,2022-02-11 00:15:47,-34.6515,-59.4307,77.85,45,1,12.35
171,Mastung,PK,2022-02-11 00:15:48,29.7994,66.845,39.67,29,0,1.97
172,Miraflores,MX,2022-02-11 00:15:48,19.2167,-98.8083,65.03,46,98,7.05
173,Palivere,EE,2022-02-11 00:15:49,58.9664,23.8911,33.62,90,10,6.6
174,Chuy,UY,2022-02-11 00:07:16,-33.6971,-53.4616,70.36,75,3,11.32
175,Bubaque,GW,2022-02-11 00:15:49,11.2833,-15.8333,78.33,79,9,8.39
176,Araripe,BR,2022-02-11 00:15:49,-7.2125,-40.0461,73.36,63,100,0.83
177,Tayoltita,MX,2022-02-11 00:15:50,24.0833,-105.9333,66.61,26,48,4.85
178,Viedma,AR,2022-02-11 00:16:50,-40.8135,-62.9967,62.58,53,72,12.01
179,Napasar,IN,2022-02-11 00:16:51,27.9667,73.55,60.58,33,0,6.46
180,Damietta,EG,2022-02-11 00:16:51,31.4165,31.8133,55.56,62,61,9.8
181,Bandarbeyla,SO,2022-02-11 00:16:51,9.4942,50.8122,72.91,66,23,13.56
