City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Beloha,MG,-25.1667,45.05,75.65,85,32,11.97,scattered clouds
249,Aklavik,CA,68.2191,-135.0107,-22.97,98,8,9.66,clear sky
250,Kirensk,RU,57.7853,108.1119,-8.84,92,100,2.17,overcast clouds
251,Kidal,ML,18.4411,1.4078,63.1,16,57,7.38,broken clouds
252,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,32.21,snow
253,Norrtalje,SE,59.758,18.705,31.01,71,51,13.35,broken clouds
254,Griffith,US,41.5284,-87.4237,30.97,80,100,23.02,overcast clouds
255,Guerrero Negro,MX,27.9769,-114.0611,64.2,58,0,9.6,clear sky
256,Karratha,AU,-20.7377,116.8463,94.06,47,7,13.11,clear sky
257,Dombarovskiy,RU,50.7587,59.5386,13.68,96,66,7.78,broken clouds
258,Keti Bandar,PK,24.1447,67.4497,72.0,47,0,6.53,clear sky
259,Klyuchi,RU,52.2667,79.1667,-3.05,95,24,9.98,few clouds
260,Rindal,NO,63.0565,9.2124,32.76,98,100,7.05,light snow
261,Soconusco,MX,17.9667,-94.8667,66.24,91,4,6.02,clear sky
262,San Juan,AR,-31.5375,-68.5364,64.45,64,100,14.72,overcast clouds
263,Nara,JP,34.6851,135.8049,50.97,37,99,4.81,overcast clouds
264,Chicama,PE,-7.8447,-79.1469,72.45,73,100,4.23,overcast clouds
265,La Candelaria,VE,9.6855,-63.4038,69.01,86,15,4.99,few clouds
266,Hami,CN,42.8,93.45,29.35,69,100,6.89,overcast clouds
267,Port Blair,IN,11.6667,92.75,82.44,65,40,9.22,scattered clouds
268,Biltine,TD,14.5333,20.9167,62.76,16,1,8.88,clear sky
269,Coquimbo,CL,-29.9533,-71.3436,64.13,82,0,3.44,clear sky
270,Bela,IN,25.9333,81.9833,61.74,44,0,8.7,clear sky
271,Nambucca Heads,AU,-30.65,153.0,73.17,60,70,17.9,broken clouds
272,Ingham,US,42.6,-84.3833,37.35,81,100,12.66,overcast clouds
273,Srednekolymsk,RU,67.45,153.6833,-24.5,94,20,6.15,few clouds
